Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 1회, 1회 1정을 씹어서 섭취하십시오.",페디오 듀오,"[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[철] 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요",(주)유유헬스케어,알약,,[철]특히 6세 이하는 과량섭취하지 않도록 주의,
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취.",혈행개선 오메가3,"[EPA 및 DHA 함유유지] 혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음, 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음.
[비타민A] 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요.
[비타민E] 유해산소로부터 세포를 보호하는데 필요.",주식회사한미양행,캡슐,,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취.",퓨네즈비비드루테인,"[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[구리] 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요

[망간] 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요",주식회사한미양행,캡슐,,"[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.

알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.",
"1일 2회, 1회 1정을 충분한 물과 함께 섭취하십시오.    

1일 1회, 1회 2정을 충분한 물과 함께 섭취하십시오.",다이어트 씨,[가르시니아캄보지아추출물] 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,코스맥스바이오(주),알약,,"특이체질이거나 민감하신 분, 알레르기가 있으신 분은 메스꺼움, 설사, 어지러움, 피부 두드러기, 답답한 증상 등이 나타날 수 있습니다. 이런 증상이 지속될 경우 섭취를 중단하시고 의사와 상담하시거나 고객상담실로 연락 주십시오. 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오. 섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하여 주십시오. 기타 질병을 가진분, 수술 전후 환자분, 임산부 ㆍ수유부나 의약품을 섭취하시는 분 등은 섭취 전 의사와 상담하시기 바랍니다. 개봉 또는 섭취 시 포장재에 의한 상처를 입을 수 있으니 주의바랍니다.",
"1일 1회, 3g(1스푼)을 직접 음용하거나 물과 함께 섭취",고려홍삼농축액,[홍삼제품] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,고려인삼연구(주),액상,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

알러지등 특이체질인 경우 제품성분을 확인한 후 섭취여부를 결정하여야 함

제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의",
"1일 1회, 1회 2정(1,400mg)을 물과함께 섭취하십시오.",미스터포뮬라,"갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",아미코젠(주),알약,,,
"1일 1회, 1회 1캡슐 (1캡슐 당 500 mg)을 물과 함께 섭취",유한m코큐텐프리미엄," 1. 항산화·높은 혈압 감소에 도움을 줄 수 있음

 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

 1. 탄수화물과 에너지 대사에 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 체내 에너지 생성에 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",(주)한국씨엔에스팜,캡슐,," 1.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.
 2.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"1일 3회, 1회 2g을 섭취하십시오.

15세 이하는 성인 섭취량의 절반정도를 섭취하십시오.",한삼인 홍삼정진,[홍삼제품] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)농협홍삼,액상,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

알러지등 특이체질이신 분은 제품성분을 확인 후 섭취하시기 바랍니다.",
"1일 1회, 1회 1정을 씹어서 섭취하십시오.",유판씨퍼플포도맛,[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요,(주)유유헬스케어,알약,," 1.  알레르기 체질이신 분은 성분을 확인한 후, 섭취하시기 바랍니다.

 2.  영ㆍ유아, 임산부 ㆍ수유부나 질환보유자 또는 약물 복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.",
"1일 2회, 1회당 12환을 식전ㆍ후 관계없이 온수 또는 냉수와 함께 드십시오.",홍삼농축액환,[홍삼제품] 1. 면역력증진에도움을줄수있음 2. 피로개선에도움을줄수있음 3. 혈소판응집억제를통한혈액흐름에도움을줄수있음 4. 기억력개선에도움을줄수있음 5. 항산화에도움을줄수있음,(주)건보,환,,"-알레르기 체질이나 특이체질이신 경우 성분을 확인 하신 후 섭취하여 주시기 바랍니다.

- 씹어서 드시면 치아에 손상을 줄 수 있으니 반드시 물과 함께 섭취하십시오. 

-의약품 복용시(당뇨치료제, 혈액항응고제)섭취에 주의 하십시오.",
"1일 1회, 1회, 1정씩 물과 함께 섭취하십시오.",글램비오틴,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비오틴] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",(주)네추럴에프앤피,알약,,알레르기 체질이신 경우 성분을 확인 한 후 섭취여부를 결정하여야 함,
"1일 1회, 1회 1정을 충분한 양의 물과 함께 섭취한다.",혈행플러스 나토키나제,"[나토균배양분말]혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요

[나이아신] 1. 체내 에너지 생성에 필요

[철] 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",(주)비오팜,알약,,"[나토균배양분말]

- 대두에 알레르기를 나타내는 사람은 섭취에 주의.

- 임산부 · 수유부 섭취에 주의

- 의약품(혈액응고제) 복용 시 섭취에 주의

- 수술 전 · 후 섭취에 주의

[철] 특히 6세 이하는 과량섭취하지 않도록 주의 1. 특정 원료에 알레르기 체질이신 분은 원료 성분을 확인 후 섭취하십시오. 

 2. 포장재에 의해 상처를 입을 수 있으니 섭취시 주의 하십시오

 3. 섭취시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.

 4. 섭취전 제품에 이상이 있을 경우 섭취를 금하십시오.",
"1일 3회, 1회 1포(3g)을 냉온수에 용해하여 드십시오.",고려홍삼차골드,면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,김포파주인삼농업협동조합,분말,,"어린이는 성인기준 1/2만 드십시오.

의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 2회, 1회 2정을 충분한 물과 함께 섭취하십시오.",오큐아레즈투엠,"[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요
[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요
[루테인] 1. 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요
[구리] 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요
[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2] 1. 체내 에너지 생성에 필요",(주)태준제약,알약,,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,
"1일 1회, 1회 1정을 물과 함께 섭취하십시오.",보령 나토키나제 골드,"[HK 나토배양물]혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(생리활성기능 2등급)

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[철] 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요",(주)한국씨엔에스팜,알약,,"알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오.

임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.

과다 섭취시 혈액응고가 저해되어 출혈위험이 증가될 수 있습니다.

항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다.

수술 전과 후에는 섭취를 피해야 합니다.유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.

특이체질, 알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오.",
"1일 1회, 1회 1포",락토에이트골드,[프로바이오틱스 제품] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,이앤에스(주),분말,,"(1) 유통기한을 확인하시기 바라며, 권장섭취량 및 섭취방법을 준수하시기 바랍니다.

(2) 특정질환, 특이체질, 알레르기 체질인 경우 개인에 따라 과민반응을 나타낼 수 있으므로 

     원료를 확인 후 섭취하십시오.

(3) 어린이가 섭취할 때는 보호자의 관리 감독 하에 주의하여 섭취시켜 주십시오.",
"1회 5g씩, 1일 2회 식전,후 관계없이 직접 드시거나 한컵(80ml)의 온수 또는 냉수에 타서 드셔도 됩니다.",고려인삼분말, 1. 면역력 증진에 도움을 줄 수 있음  2. 피로개선에 도움을 줄 수 있음,주식회사 동진제약,분말,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
1일 3회 : 1회섭취 30g (동봉된 스푼 1스푼 약 15g 2스푼) 물 또는 우유나 주스 200mg:30g을 혼합하여 섭취한다.,런웨이프로틴,"[단백질] 1. 근육, 결합조직 등 신체조직의 구성성분 2. 효소, 호르몬, 항체의 구성에 필요 3. 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요 4. 체액, 산-염기의 균형 유지에 필요 5. 에너지, 포도당, 지질의 합성에 필요",이원바이오,분말,,[단백질]특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의,
"1일 1회, 1회 1포(20ml)씩 직접 섭취 하십시오.",동원천지인꼬마버스타요어린이홍삼,"[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름, 기억력 개선, 항산화에 도움을 줄 수 있음.",(주)동원에프앤비,액상,,"- 알러지 등 특이체질의 경우 과민반응이 우려될 수 있으니 성분을 확인하신후 섭취 하십시오.

- 전자레인지에 직접 데우지 마십시오.

- 섭취 목적으로 개봉된 제품은 바로 드십시오.

- 포장지 절단면에 다칠 수 있으니 주의를 요합니다.

- 포장이 변형, 팽창, 손상되었거나 내용물이 변질되었을 경우 드시지 마십시오.

- 의약품(당뇨치료제, 혈액항응고제)복용 시 섭취에 주의하십시오.",
"1일 3회, 1회 1정씩 물과 함께 섭취",해조칼슘-D플러스,"[비타민D]  1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[칼슘]  1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌",네이처퓨어코리아(주),알약,," 1.  과량섭취 시 부작용이 있을 수 있음.
 2.  특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
 3.  유통기한이 경과된 제품은 섭취하지 마십시오.",
"1일 1회, 1회 1캡슐을 물과 함께 섭취",눈이 편한 루테인,"[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요
[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요
[베타카로틴] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요",(주)네추럴에프앤피,캡슐,,"[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.

알레르기 체질이신 경우 성분을 확인 한 후 섭취여부를 결정하여야 함",
"1일 2회, 1회 1캡슐을 물과 함께 섭취하십시오.",낫도나제골드,"[HK 나토배양물]혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 II)",(주)한국씨엔에스팜,캡슐,,"[HK 나토배양물] 1.  알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오. 2.  임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다. 3.  과다 섭취 시 혈액응고가 저해되어 출혈 위험이 증가될 수 있습니다. 4.  항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다. 5.  수술 전과 후에는 섭취를 피해야 합니다.",
"1일 1회, 1회 1g을 온수 또는 냉수에 타서 섭취",홍삼분말, 1. 면역력증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판응집억제를통한혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,풍기특산물영농조합법인,분말,,"알레르기체질이신경우는성분을확인하고섭취

의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1정을 물과 함께 섭취하십시오.",비타민D 1000+, 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌,(주)한국씨엔에스팜,알약,,#NAME?,
"1일 1회, 1회 1포를 식후에 섭취",닥터신바이오틱스키즈, 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,(주)비피도,분말,,"1. 살아있는 유산균이므로 37도가 넘는 뜨거운 물은 사용에 주의한다.
2. 특이체질이거나 알레르기 체질 등이 있는 분은 섭취를 금한다.
3. 포장 부분이(끝부분) 날카로워 베일 수 있으니 주의한다.",
"1일 1회, 1회 1정을 물과 함께 섭취하십시오.",팜엔탑 철분, 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요,(주)한국씨엔에스팜,알약,,특히 6세 이하는 과량섭취하지 않도록 주의,
"1일 1회, 1회 5정을 씹어서 섭취하십시오",튼튼닷컴 스피루리나,"[스피루리나 제품] 1. 피부건강에 도움을 줄 수 있음  2. 항산화에 도움을 줄 수 있음 
[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",주식회사 노바렉스,알약,,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다",
1일 1회 1포를 섭취하십시오.,홍삼톤청, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)한국인삼공사,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1정을 물과 함께 섭취하십시오.",메가나토키나제,"[HK 나토배양물]혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 II)",(주)한국씨엔에스팜,알약,,"[HK 나토배양물] 1.  알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오. 2.  임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다. 3.  과다 섭취 시 혈액응고가 저해되어 출혈 위험이 증가될 수 있습니다. 4.  항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다. 5.  수술 전과 후에는 섭취를 피해야 합니다.",
"1일 3회, 1회 2정씩 씹어서 섭취한다.",그린칼슘, 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌,(주)네이처텍,알약,,신체에 이상이 있거나 특이체질이신 경우 성분을 확인하신 후 섭취,
"1일 2회, 1회 2정(1정당 500mg)을 물과 함께 섭취",알베올,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",(주)오스코텍,알약,,#NAME?,
"1일 3회, 1회에 동봉된 수저(한 수저 당 1g)를 이용하여 1g씩 냉, 온수에 타서 섭취한다.",고려천년의빛홍삼농축액,"면역력 증진,피로개선,혈소판 응집 억제를 통한 혈액흐름, 기억력 개선,항산화에 도움을 줄 수 있음",(주)대한홍삼진흥공사,액상,,알러지 등 특이체질의 경우 성분을 확인 후 섭취한다.,
"1일 1회, 1회 2캡슐을 물과 함께 섭취하십시오.",임팩트엠,"[프로바이오틱스] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음 

[홍경천추출물]스트레스로 인한 피로개선에 도움을 줄 수 있음.

[구리] 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)한국씨엔에스팜,캡슐,," 1.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
 2.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.",
"1일 2회, 1회 1포씩(5g)을 식사 30분전에 충분한 물과 함께 섭취한다.",바라크,[차전자피 제품] 배변활동 원활에 도움을 줄 수 있음,한독화장품(주),환,,"[차전자피 제품]반드시 충분한 물과 함께 섭취할 것 (액상 제외)

알레르기 체질, 특이 체질의 경우 성분을 확인 후 섭취하십시오.

임산부, 수유부 및 질병으로 치료중인 분은 전문가와 상의 하십시오.",
"1일 1회, 1회 1캡슐을 물과 함께 섭취",코엔자임큐텐,"[코엔자임Q10제품]

항산화, 높은 혈압 감소에 도움을 줄 수 있음",네이처퓨어코리아(주),캡슐,, 1.  특정 또는 특이체질 등 알러지체질의 경우 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오.,
"1일 3회, 1회 2캅셀 (550mg/1캅셀)을 물과 함께 섭취.

(어린이는 성인의 1/2섭취)",개성홍삼정골드캅셀,[홍삼제품] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,개성인삼농협,캡슐,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

특이체질 또는 알레르기 체질인 경우 성분 확인 후 섭취.

유통기한이 경과된 제품은 섭취하지 마세요.",
"1일 1회, 1회 1포를 직접 또는 물 또는 우유, 이유식 등에 타거나 직접 섭취하십시오.",락토리움 프로바이오틱스 키즈앤베이비 생유산균, 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,(주)뉴팜,분말,,#NAME?,
"1일 1회, 1회 2정을 물과 함께 섭취하십시오.",칼슘 마그네슘 플러스 비타민 D,"[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌

[마그네슘] 1. 에너지 이용에 필요 2. 신경과 근육 기능 유지에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[비타민K] 1. 정상적인 혈액응고에 필요 2. 뼈의 구성에 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌",(주)뉴트리바이오텍,알약,,"1. 임산부 , 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
3. 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
5. 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.",
"1일 2회, 1회 1포씩 섭취하십시오.",비타민C분말,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B2] 1. 체내 에너지 생성에 필요",(주)에스엘에스,분말,,"특정질환, 특이체질, 알레르기 체질인 경우는 개인에 따라 과민반응을 나타낼 수 있으므로 성분을 확인 한 후 섭취하십시오.",
"1일 1회, 1회 1정을 충분한 물과 함께 섭취 하십시오.",건강한 간 밀크씨슬,"밀크씨슬 -  1.  간 건강에 도움을 줄 수 있음

비타민B2- 1. 체내 에너지 생성에 필요

비타민B6- 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

판토텐산- 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

아연- 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

비타민B1- 1. 탄수화물과 에너지 대사에 필요",(주)허브큐어,알약,," 1.  알레르기 반응이 나타나는 경우에는 섭취 중단
 2.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의",
"1일 3회, 1회 1캅셀씩 충분한 물과 함께 섭취한다.",프라임오메가3, 1. 혈중 중성지질 개선 2. 혈행개선,종근당건강(주),캡슐,,"1) 제품의 섭취시 섭취량 및 섭취방법을 확인하고 섭취하여 주십시오.
2) 유통기한이 경과된 제품은 섭취하지 않도록 주의바랍니다.
3) 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.
4) 알레르기 체질이신 분은 성분을 확인하고 섭취하시기 바랍니다.",
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",아이써클골드,"노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",코스맥스바이오(주),캡슐,,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음

섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 

섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.

개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. 

섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.

특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
"1일 1회, 1회 1정씩 물과 함께 섭취",프리미엄비타민D 2000IU,[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요,네이처퓨어코리아(주),알약,," 1.  과량섭취시 부작용이 있을 수 있음.

 2.  특정원료에 알레르기가 있거나 질병치료 약물 투여중인 분은 섭취전 전문가와 상의하십시오.",
"1일 2회, 1회 2정씩 물과 함께 섭취",진생당 홍삼컴파운드케이,[홍삼] 1. 면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,네이처퓨어코리아(주),알약,," 1.  과량섭취 시 부작용이 있을 수 있음.
   2.  특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
   3.  유통기한이 경과된 제품은 섭취하지 마십시오.
  [홍삼] 의약품(당료치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 6g씩(동봉된 스푼은 2g 임) 그냥 드시거나 기호에 따라 냉수 또는 온수에 타서 드십시오.",흑삼정, 1. 면역력 증진에 도움을 줄 수 있음  2. 피로개선에 도움을 줄 수 있음  3. 혈소판 응집억제를 통한 혈액흐름에 도움을 줄 수 있음  4. 기억력 개선에 도움을 줄 수 있음  5.  항산화에 도움을 줄 수 있음,(주)그린바이오,액상,,"1) 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의하십시오.
2) 제품개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.
3) 특정 성분에 민감한 체질인 분은 성분을 확인 후에 섭취하십시오.
4) 섭취전 제품에 이상이 있는 경우에는 섭취하지 마십시오.",
